,"Мощность активная потребленная, кВт",Год,Месяц,День,Час,День недели,Праздник ли это
517,6.56984278407907,2022,1,22,14,6,1
518,6.39672439714682,2022,1,22,15,6,1
519,6.22879956182253,2022,1,22,16,6,1
520,4.85423956958043,2022,1,22,17,6,1
521,4.64995987300036,2022,1,22,18,6,1
522,4.68112118264817,2022,1,22,19,6,1
523,4.63091685043782,2022,1,22,20,6,1
524,4.66900289556291,2022,1,22,21,6,1
525,4.72093841164259,2022,1,22,22,6,1
526,4.76421800837566,2022,1,22,23,6,1
527,4.89232561470552,2022,1,23,0,6,1
528,4.84558365023382,2022,1,23,1,7,1
529,5.105261230632189,2022,1,23,2,7,1
530,5.4307237980648395,2022,1,23,3,7,1
531,6.70314394201691,2022,1,23,4,7,1
532,9.71886624237679,2022,1,23,5,7,1
533,9.28087672343819,2022,1,23,6,7,1
534,9.268758436352929,2022,1,23,7,7,1
535,9.40898432976805,2022,1,23,8,7,1
536,8.28890836631636,2022,1,23,9,7,1
537,9.58556508443896,2022,1,23,10,7,1
538,9.16488740419358,2022,1,23,11,7,1
539,9.09564004942067,2022,1,23,12,7,1
540,8.453370833902,2022,1,23,13,7,1
541,7.32810131884235,2022,1,23,14,7,1
542,6.96628389015393,2022,1,23,15,7,1
543,5.48612168188316,2022,1,23,16,7,1
544,4.93387402756926,2022,1,23,17,7,1
545,4.82480944380195,2022,1,23,18,7,1
546,4.86462667279636,2022,1,23,19,7,1
547,4.85077720184178,2022,1,23,20,7,1
548,4.85770193731908,2022,1,23,21,7,1
549,4.800572869631431,2022,1,23,22,7,1
550,4.82827181154059,2022,1,23,23,7,1
551,5.11045478224017,2022,1,24,0,7,0
552,5.21432581439952,2022,1,24,1,1,0
553,5.2281752853541,2022,1,24,2,1,0
554,5.73368097519628,2022,1,24,3,1,0
555,6.41749860357869,2022,1,24,4,1,0
556,9.20643581705732,2022,1,24,5,1,0
557,9.151037933238989,2022,1,24,6,1,0
558,9.43495208780789,2022,1,24,7,1,0
559,8.945027052789609,2022,1,24,8,1,0
560,7.6535638862749895,2022,1,24,9,1,0
561,8.764983930380069,2022,1,24,10,1,0
562,8.44817728229404,2022,1,24,11,1,0
563,8.2767900792311,2022,1,24,12,1,0
564,7.8232199054686,2022,1,24,13,1,0
565,7.19826252864316,2022,1,24,14,1,0
566,7.05111189975074,2022,1,24,15,1,0
567,6.0487564394129905,2022,1,24,16,1,0
568,5.16758384992781,2022,1,24,17,1,0
569,5.20047634344494,2022,1,24,18,1,0
570,5.0896805758083,2022,1,24,19,1,0
571,4.93041165983062,2022,1,24,20,1,0
572,5.06890636937642,2022,1,24,21,1,0
573,5.02562677264336,2022,1,24,22,1,0
574,5.19182042409833,2022,1,24,23,1,0
575,5.36147644329193,2022,1,25,0,1,0
576,5.42379906258754,2022,1,25,1,2,0
577,5.55363785278674,2022,1,25,2,2,0
578,5.892949891173959,2022,1,25,3,2,0
579,7.08400439326787,2022,1,25,4,2,0
580,9.78638241328037,2022,1,25,5,2,0
581,9.84870503257598,2022,1,25,6,2,0
